

Hipparcos Constellation Membership

Hipparcos Number,Constellation
HIP 20963,Tau
HIP 20995,Tau
HIP 21029,
HIP 21036,Tau
HIP 21039,Tau
HIP 21060,Cae
HIP 21082,Tau
HIP 21109,
HIP 21137,Tau
HIP 21139,Eri
HIP 21144,Per
HIP 21148,Cam
HIP 21192,Eri
HIP 21242,Per
HIP 21248,Eri
HIP 21273,Tau
HIP 21278,Eri
HIP 21281,Dor
HIP 21296,Eri
HIP 21393,Eri
HIP 21402,Tau
HIP 21421,Tau
HIP 21444,Eri
HIP 21459,Tau
HIP 21476,Per
HIP 21479,Dor
HIP 21515,Eri
HIP 21517,Tau
HIP 21547,Eri
HIP 21575,Tau
HIP 21588,Tau
HIP 21589,Tau
HIP 21594,Eri
HIP 21604,Tau
HIP 21673,Tau
HIP 21683,Tau
HIP 21727,Cam
HIP 21730,Cam
HIP 21735,Tau
HIP 21756,
HIP 21763,Eri
HIP 21770,Cae
HIP 21861,Cae
HIP 21881,Tau
HIP 21914,Pic
HIP 21928,Per
HIP 21949,Men
HIP 21961,Tau
HIP 21986,Eri
HIP 21998,Cae
HIP 22013,Tau
HIP 22024,Eri
HIP 22040,Dor
HIP 22109,Eri
HIP 22192,Eri
HIP 22196,
HIP 22263,Eri
HIP 22280,Cae
HIP 22287,Cam
HIP 22325,Eri
HIP 22365,
HIP 22381,Dor
HIP 22441,Tau
HIP 22449,Ori
HIP 22453,Aur
HIP 22479,Eri
HIP 22488,Cae
HIP 22491,
HIP 22509,Ori
HIP 22531,Pic
HIP 22534,Pic
HIP 22549,Ori
HIP 22565,Tau
HIP 22596,
HIP 22667,Ori
HIP 22678,Aur
HIP 22701,Eri
HIP 22730,Ori
HIP 22783,Cam
HIP 22797,Ori
HIP 22833,Ori
HIP 22845,Ori
HIP 22854,Cam
HIP 22871,Men
HIP 22881,Eri
HIP 22957,Ori
HIP 22958,Eri
HIP 23015,Aur
HIP 23033,Cam
HIP 23040,Cam
HIP 23068,Tau
HIP 23088,Tau
HIP 23123,Ori
HIP 23148,Men
HIP 23179,Aur
HIP 23203,
HIP 23214,Tau
HIP 23216,Cam
HIP 23221,Eri
HIP 23231,Eri
HIP 23261,Aur
HIP 23268,Aur
HIP 23311,
HIP 23364,Eri
HIP 23416,Aur
HIP 23453,Aur
HIP 23467,Men
HIP 23474,Lep
HIP 23482,Pic
HIP 23497,Tau
HIP 23522,Cam
HIP 23595,Cae
HIP 23596,Cae
HIP 23607,Ori
HIP 23649,Pic
HIP 23680,Ori
HIP 23685,Lep
HIP 23693,Dor
HIP 23699,Tau
HIP 23734,Cam
HIP 23743,Cam
HIP 23767,Aur
HIP 23783,Aur
HIP 23794,Eri
HIP 23833,Pic
HIP 23835,Tau
HIP 23840,Dor
HIP 23852,Ori
HIP 23871,Tau
HIP 23875,Eri
HIP 23879,Ori
HIP 23883,Tau
HIP 23900,Tau
HIP 23941,Eri
HIP 23972,Eri
HIP 23983,Ori
HIP 24003,
HIP 24010,Ori
HIP 24019,Tau
HIP 24169,Lep
HIP 24186,
HIP 24196,Ori
HIP 24244,Lep
HIP 24254,Cam
HIP 24305,Lep
HIP 24327,Lep
HIP 24331,Ori
HIP 24340,Aur
HIP 24348,Cam
HIP 24372,Dor
HIP 24430,Lep
HIP 24436,Ori
HIP 24488,Aur
HIP 24504,Aur
HIP 24512,Tau
HIP 24555,Ori
HIP 24575,Aur
HIP 24608,Aur
HIP 24659,Col
HIP 24663,Tau
HIP 24674,Ori
HIP 24727,Aur
HIP 24738,Aur
HIP 24740,Aur
HIP 24786,
HIP 24799,Aur
HIP 24813,Aur
HIP 24817,Ori
HIP 24822,Tau
HIP 24825,Lep
HIP 24827,Lep
HIP 24829,Pic
HIP 24832,Aur
HIP 24836,Cam
HIP 24845,Lep
HIP 24873,Lep
HIP 24879,Aur
HIP 24906,Tau
HIP 24943,Pic
HIP 25007,Col
HIP 25044,Ori
HIP 25048,Aur
HIP 25092,Ori
HIP 25098,Pic
HIP 25110,
HIP 25142,Ori
HIP 25145,Ori
HIP 25192,Aur
HIP 25194,Col
HIP 25197,Cam
HIP 25202,Lep
HIP 25205,Ori
HIP 25216,Tau
HIP 25247,Ori
HIP 25278,Tau
HIP 25281,Ori
HIP 25282,Ori
HIP 25292,Aur
HIP 25302,Ori
HIP 25303,Pic
HIP 25336,Ori
HIP 25410,Tau
HIP 25428,Tau
HIP 25429,Dor
HIP 25473,Ori
HIP 25486,Lep
HIP 25499,Tau
HIP 25539,Tau
HIP 25541,Aur
HIP 25544,
HIP 25555,Tau
HIP 25583,Tau
HIP 25606,Lep
HIP 25647,Dor
HIP 25662,
HIP 25695,Tau
HIP 25733,Aur
HIP 25737,Ori
HIP 25769,Cam
HIP 25776,Men
HIP 25785,Ori
HIP 25813,Ori
HIP 25853,Lep
HIP 25859,Col
HIP 25861,Ori
HIP 25877,Aur
HIP 25918,Men
HIP 25923,Ori
HIP 25930,Ori
HIP 25945,Tau
HIP 25973,Cam
HIP 25984,Aur
HIP 25985,Lep
HIP 26001,Dor
HIP 26063,Ori
HIP 26064,Tau
HIP 26069,Dor
HIP 26093,Ori
HIP 26126,Ori
HIP 26128,Aur
HIP 26169,Men
HIP 26176,Ori
HIP 26182,Ori
HIP 26207,Ori
HIP 26220,Ori
HIP 26221,Ori
HIP 26224,Ori
HIP 26233,Ori
HIP 26235,Ori
HIP 26237,Ori
HIP 26241,Ori
HIP 26248,Tau
HIP 26258,Ori
HIP 26264,Men
HIP 26268,Ori
HIP 26300,Pic
HIP 26311,Ori
HIP 26366,Ori
HIP 26368,Dor
HIP 26380,
HIP 26382,Tau
HIP 26394,Men
HIP 26408,Cam
HIP 26412,Col
HIP 26451,Tau
HIP 26460,Col
HIP 26536,Aur
HIP 26549,Ori
HIP 26563,Ori
HIP 26594,Ori
HIP 26606,Aur
HIP 26634,Col
HIP 26640,Tau
HIP 26712,
HIP 26718,Aur
HIP 26727,Ori
HIP 26728,Ori
HIP 26742,Ori
HIP 26777,Tau
HIP 26779,Aur
HIP 26865,Lep
HIP 26868,Col
HIP 26885,Ori
HIP 26942,Cam
HIP 26953,Ori
HIP 26959,Col
HIP 26964,Tau
HIP 26998,Tau
HIP 27046,Cam
HIP 27072,Lep
HIP 27100,Dor
HIP 27181,Tau
HIP 27196,Aur
HIP 27204,Col
HIP 27249,Cam
HIP 27265,Tau
HIP 27283,Cam
HIP 27288,Lep
HIP 27316,Tau
HIP 27321,Pic
HIP 27338,Tau
HIP 27341,Ori
HIP 27364,Tau
HIP 27366,Ori
HIP 27369,Men
HIP 27386,Ori
HIP 27435,
HIP 27468,Tau
HIP 27483,Aur
HIP 27511,Tau
HIP 27530,Pic
HIP 27534,Dor
HIP 27566,Men
HIP 27581,Tau
HIP 27592,Cam
HIP 27628,Col
HIP 27639,Aur
HIP 27654,Lep
HIP 27658,Ori
HIP 27661,Aur
HIP 27673,Aur
HIP 27731,Cam
HIP 27743,Tau
HIP 27750,Ori
HIP 27810,Col
HIP 27830,Tau
HIP 27890,Dor
HIP 27913,Ori
HIP 27949,Aur
HIP 27965,Ori
HIP 27971,Cam
HIP 27989,Ori
HIP 28010,Col
HIP 28066,
HIP 28098,Col
HIP 28103,Lep
HIP 28162,Aur
HIP 28199,Col
HIP 28237,Tau
HIP 28267,
HIP 28271,Ori
HIP 28296,Ori
HIP 28321,Mon
HIP 28325,Mon
HIP 28328,Col
HIP 28358,Aur
HIP 28360,Aur
HIP 28380,Aur
HIP 28404,Aur
HIP 28434,Lep
HIP 28489,Col
HIP 28499,Aur
HIP 28561,Tau
HIP 28574,Mon
HIP 28596,Pic
HIP 28614,Ori
HIP 28677,Aur
HIP 28691,Ori
HIP 28716,Ori
HIP 28734,Gem
HIP 28744,Mon
HIP 28756,Col
HIP 28764,
HIP 28765,Cam
HIP 28796,Pup
HIP 28812,Ori
HIP 28814,Ori
HIP 28816,Lep
HIP 28823,Aur
HIP 28874,Lep
HIP 28908,
HIP 28909,Dor
HIP 28910,Lep
HIP 28930,Aur
HIP 28946,Aur
HIP 28954,
HIP 28957,Col
HIP 28969,Gem
HIP 29034,Col
HIP 29038,Ori
HIP 29048,Lep
HIP 29064,Col
HIP 29134,Dor
HIP 29225,Gem
HIP 29246,Cam
HIP 29263,Col
HIP 29271,Men
HIP 29276,Pic
HIP 29288,Gem
HIP 29323,Mon
HIP 29353,Dor
HIP 29365,Lep
HIP 29379,Gem
HIP 29388,Aur
HIP 29401,Mon
HIP 29426,Ori
HIP 29432,
HIP 29433,Ori
HIP 29434,Ori
HIP 29450,Gem
HIP 29488,CMa
HIP 29490,Cam
HIP 29525,Ori
HIP 29550,
HIP 29568,CMa
HIP 29650,Ori
HIP 29651,Mon
HIP 29655,Gem
HIP 29696,Aur
HIP 29704,Ori
HIP 29730,Cam
HIP 29736,Ori
HIP 29788,
HIP 29789,Gem
HIP 29800,Ori
HIP 29807,Col
HIP 29840,Gem
HIP 29850,Ori
HIP 29860,
HIP 29884,Aur
HIP 29885,Mon
HIP 29901,Aur
HIP 29919,Lyn
HIP 29949,Aur
HIP 30003,Gem
HIP 30019,Ori
HIP 30046,Gem
HIP 30049,Gem
HIP 30060,Lyn
HIP 30073,Mon
HIP 30089,
HIP 30122,CMa
HIP 30174,CMa
HIP 30214,CMa
HIP 30237,Pic
HIP 30247,Aur
HIP 30272,Lyn
HIP 30277,Col
HIP 30321,Dor
HIP 30324,CMa
HIP 30342,Pic
HIP 30343,Gem
HIP 30351,Mon
HIP 30419,Mon
HIP 30422,Mon
HIP 30426,CMa
HIP 30438,Car
HIP 30503,
HIP 30520,Aur
HIP 30541,Mon
HIP 30565,Dor
